No	Xt-EHR resource	Xt-EHR field	Xt-EHR cardinality	Xt-EHR description	ExtEHR type	Xt-EHR binding	Xt-EHR source	R5 Mapped Resource	R5 Mapped Field	R5 Relation				R5 Comments	R5 Needs work	R5 Producer Obligation	R5 Consumer Obligation	R5 Composition section	R4 Mapped Resource	R4 Mapped Field	R4 EQ				R4 Modeling	R4 Needs work	R4 Producer Obligation	R4 Consumer Obligation	R4 Composition section	
284	EHDSDischargeReport	body	0..1	Structured body of the discharge report document	Base		Structured body of the discharge report document																							
285	EHDSDischargeReport	body.alerts	0..1	Information about substantial alerts or warnings (including allergies) that health professionals should be aware of.	Base		Section: Alerts.																							
286	EHDSDischargeReport	body.alerts.generatedNarrative	0..1	Narrative, potentially formatted, content of the whole section.	string		Narrative, potentially formatted, content of the whole section.																							
287	EHDSDischargeReport	body.alerts.medicalAlert	0..*	Description of medical alerts in textual format: any clinical information that is imperative to know so that the life or health of the patient does not come under threat.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSAlert		Description of medical alerts in textual format: any clinical information that is imperative to know so that the life or health of the patient does not come under threat.																							
288	EHDSDischargeReport	body.encounterInformation	1..1	Section: Encounter information.	Base		Section: Encounter information.																							
289	EHDSDischargeReport	body.encounterInformation.generatedNarrative	0..1	Narrative, potentially formatted, content of the whole section.	string		Narrative, potentially formatted, content of the whole section.																							
290	EHDSDischargeReport	body.encounterInformation.encounter	0..1	Encounter information	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSEncounter		Encounter information																							
291	EHDSDischargeReport	body.encounterInformation.note	0..1	Free text notes by the health professional	string		Free text notes by the health professional																							
292	EHDSDischargeReport	body.admissionEvaluation	0..1	Section: Admission evaluation. Admission evaluation section should be reported only if it is relevant to ensure continuity of care.	Base		Section: Admission evaluation. Admission evaluation section should be reported only if it is relevant to ensure continuity of care.																							
293	EHDSDischargeReport	body.admissionEvaluation.generatedNarrative	0..1	Narrative, potentially formatted, content of the whole section.	string		Narrative, potentially formatted, content of the whole section.																							
294	EHDSDischargeReport	body.admissionEvaluation.objectiveFindings	0..*	Objective findings, such as anthropometric measurements, vital signs, or objective anatomical findings of physical examination	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation		Objective findings, such as anthropometric measurements, vital signs, or objective anatomical findings of physical examination																							
295	EHDSDischargeReport	body.admissionEvaluation.functionalStatus[x]	0..*	An individual's ability to perform normal daily activities required to meet basic needs, fulfil usual roles and maintain health and well-being	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCondition		An individual's ability to perform normal daily activities required to meet basic needs, fulfil usual roles and maintain health and well-being																							
296	EHDSDischargeReport	body.admissionEvaluation.functionalStatus[x]	0..*	An individual's ability to perform normal daily activities required to meet basic needs, fulfil usual roles and maintain health and well-being	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation		An individual's ability to perform normal daily activities required to meet basic needs, fulfil usual roles and maintain health and well-being																							
297	EHDSDischargeReport	body.admissionEvaluation.note	0..1	Free text notes by the evaluation performer	string		Free text notes by the evaluation performer																							
298	EHDSDischargeReport	body.patientHistory	0..1	Section: Patient health history (anamnesis) containing only information that is highly relevant for this specific episode of care. The model is designed with the expectation that patient summary is available.	Base		Section: Patient health history (anamnesis) containing only information that is highly relevant for this specific episode of care. The model is designed with the expectation that patient summary is available.																							
299	EHDSDischargeReport	body.patientHistory.generatedNarrative	0..1	Narrative, potentially formatted, content of the whole section. In case the section includes structured information, it should also be included in generatedNarrative.	string		Narrative, potentially formatted, content of the whole section. In case the section includes structured information, it should also be included in generatedNarrative.																							
300	EHDSDischargeReport	body.patientHistory.note	0..1	Free text notes by the health professional	string		Free text notes by the health professional																							
301	EHDSDischargeReport	body.courseOfEncounter	0..1	Course of inpatient or outpatient encounter.	Base		Course of inpatient or outpatient encounter.																							
302	EHDSDischargeReport	body.courseOfEncounter.generatedNarrative	0..1	Narrative, potentially formatted, content of the whole section.	string		Narrative, potentially formatted, content of the whole section.																							
303	EHDSDischargeReport	body.courseOfEncounter.diagnosticSummary	0..*	Problems that were treated or affected provisioning of care (diagnostics, therapy, nursing, monitoring) during the encounter. At least one treated problem should be marked. Other problems are recorded only if they are important for continuity of care (after discharge).	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCondition		Problems that were treated or affected provisioning of care (diagnostics, therapy, nursing, monitoring) during the encounter. At least one treated problem should be marked. Other problems are recorded only if they are important for continuity of care (after discharge).																							
304	EHDSDischargeReport	body.courseOfEncounter.procedures	0..*	Procedures performed during encounter which are significant for continuity of care, e.g. surgeries and other instrumental interventions (endoscopic, intravascular), chemotherapy, radiotherapy, purification methods (dialysis, hemoperfusion), circulation support methods (counterpulsation, etc.), administration of blood derivatives or others. Diagnostic procedures are typically captured as observation results and not repeated here.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSProcedure		Procedures performed during encounter which are significant for continuity of care, e.g. surgeries and other instrumental interventions (endoscopic, intravascular), chemotherapy, radiotherapy, purification methods (dialysis, hemoperfusion), circulation support methods (counterpulsation, etc.), administration of blood derivatives or others. Diagnostic procedures are typically captured as observation results and not repeated here.																							
305	EHDSDischargeReport	body.courseOfEncounter.medicalDevicesAndImplants	0..*	Medical devices (including implants) whose use was started, stopped, or otherwise modified during the encounter.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDeviceUse		Medical devices (including implants) whose use was started, stopped, or otherwise modified during the encounter.																							
306	EHDSDischargeReport	body.courseOfEncounter.pharmacotherapy	0..*	Significant medication treatments during encounter. The content of this section may be repeated in the medication summary for full overview of patient's medications.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSMedicationUse		Significant medication treatments during encounter. The content of this section may be repeated in the medication summary for full overview of patient's medications.																							
307	EHDSDischargeReport	body.courseOfEncounter.objectiveFindings	0..*	Objective findings, such as anthropometric measurements, vital signs, or objective anatomical findings of physical examination. The line between objective findings and test results is not clear and it is up to the implementers to decide how to logically display different measurements.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation		Objective findings, such as anthropometric measurements, vital signs, or objective anatomical findings of physical examination. The line between objective findings and test results is not clear and it is up to the implementers to decide how to logically display different measurements.																							
308	EHDSDischargeReport	body.courseOfEncounter.testResults	0..*	Significant medical test results of functional, diagnostic (including laboratory), and imaging examinations performed during encounter. This may include orders for which the results have not yet arrived.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation		Significant medical test results of functional, diagnostic (including laboratory), and imaging examinations performed during encounter. This may include orders for which the results have not yet arrived.																							
309	EHDSDischargeReport	body.courseOfEncounter.note	0..1	Free text notes by the health professional	string		Free text notes by the health professional																							
310	EHDSDischargeReport	body.dischargeDetails	0..1	Structured information should be provided, however if not available, at least a section narrative should be present.	Base		Discharge details																							
311	EHDSDischargeReport	body.dischargeDetails.generatedNarrative	0..1	Narrative, potentially formatted, content of the whole section.	string		Narrative, potentially formatted, content of the whole section.																							
312	EHDSDischargeReport	body.dischargeDetails.objectiveFindings	0..*	Objective findings, such as anthropometric measurements, vital signs, or objective anatomical findings of physical examination	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation		Objective findings, such as anthropometric measurements, vital signs, or objective anatomical findings of physical examination																							
313	EHDSDischargeReport	body.dischargeDetails.functionalStatus[x]	0..*	An individual's ability to perform normal daily activities required to meet basic needs, fulfil usual roles and maintain health and well-being	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCondition		An individual's ability to perform normal daily activities required to meet basic needs, fulfil usual roles and maintain health and well-being																							
314	EHDSDischargeReport	body.dischargeDetails.functionalStatus[x]	0..*	An individual's ability to perform normal daily activities required to meet basic needs, fulfil usual roles and maintain health and well-being	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation		An individual's ability to perform normal daily activities required to meet basic needs, fulfil usual roles and maintain health and well-being																							
315	EHDSDischargeReport	body.dischargeDetails.note	0..1	Free text notes by the health professional	string		Free text notes by the health professional																							
316	EHDSDischargeReport	body.medicationSummary	0..1	Summary information on the medication recommended for the period after discharge, indicating whether the medication is changed or newly started. Compared to previous practices, the overview is supplemented with medication that has been discontinued.	Base		Summary information on the medication recommended for the period after discharge, indicating whether the medication is changed or newly started. Compared to previous practices, the overview is supplemented with medication that has been discontinued.																							
317	EHDSDischargeReport	body.medicationSummary.generatedNarrative	0..1	Narrative, potentially formatted, content of the whole section.	string		Narrative, potentially formatted, content of the whole section.																							
318	EHDSDischargeReport	body.medicationSummary.medicationUse	1..1	Details about medication and dosage	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSMedicationUse		Details about medication and dosage																							
319	EHDSDischargeReport	body.medicationSummary.note	0..1	Free text notes by the health professional	string		Free text notes by the health professional																							
320	EHDSDischargeReport	body.carePlan	0..1	Care plan and other recommendations after discharge.	Base		Care plan and other recommendations after discharge.																							
321	EHDSDischargeReport	body.carePlan.generatedNarrative	0..1	Narrative, potentially formatted, content of the whole section.	string		Narrative, potentially formatted, content of the whole section.																							
322	EHDSDischargeReport	body.carePlan.carePlan	0..*	Structured care plan after discharge. Multiple care plans could be provided.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCarePlan		Structured care plan after discharge. Multiple care plans could be provided.																							
323	EHDSDischargeReport	body.carePlan.otherRecommendations	0..1	Other recommendations (advice) after discharge. E.g., recommendation to suggest hip replacement, reduce number of cigarettes, stop smoking, increase physical exercises, etc.	string		Other recommendations (advice) after discharge. E.g., recommendation to suggest hip replacement, reduce number of cigarettes, stop smoking, increase physical exercises, etc.																							
324	EHDSDischargeReport	body.synthesis	0..1	Clinical synthesis (e.g. description of reasons and course of encounter) clustered by managed conditions. Clinical synthesis may include clinical reasoning (differential diagnostics, explanation of clinical context) in clinically complex conditions.	string		Clinical synthesis (e.g. description of reasons and course of encounter) clustered by managed conditions. Clinical synthesis may include clinical reasoning (differential diagnostics, explanation of clinical context) in clinically complex conditions.																							
325	EHDSDischargeReport	attachments	0..*	Report attachments. Implementations may define what kind of attachments are allowed and may ignore unexpected attachments for security reasons.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSAttachment		Report attachments. Implementations may define what kind of attachments are allowed and may ignore unexpected attachments for security reasons.																							
326	EHDSDocument		0..*	Model for common document data elements, including the common header. Data relevant to document type and its content for administrative and searching purposes.			Document model																							
327	EHDSDocument	header	1..1	Basic metadata for this information	Base		Document header																							
328	EHDSDocument	header.subject	1..1	Patient/subject information	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient		Patient/subject information																							
329	EHDSDocument	header.identifier	1..*	Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).	Identifier		Unique identifier of the document																							
330	EHDSDocument	header.author[x]	1..*	Author(s) responsible for the provided information. The exact role of the responsible author varies across use cases and is specific to individual models.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional		Author(s) of the document																							
331	EHDSDocument	header.author[x]	1..*	Author(s) responsible for the provided information. The exact role of the responsible author varies across use cases and is specific to individual models.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation		Author(s) of the document																							
332	EHDSDocument	header.author[x]	1..*	Author(s) responsible for the provided information. The exact role of the responsible author varies across use cases and is specific to individual models.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice		Author(s) of the document																							
333	EHDSDocument	header.date	1..1	Date and optionally time of authoring/issuing	dateTime		Date of finalising/issuing the document																							
334	EHDSDocument	header.status	1..1	Status of the resource or document	CodeableConcept		Status of the document																							
335	EHDSDocument	header.source	0..0	Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.	CodeableConcept		Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.																							
336	EHDSDocument	header.language	0..1	Language in which the resource is written. Language is expressed by the IETF language tag.	CodeableConcept	BCP 47 (preferred)	Language in which the resource is written. Language is expressed by the IETF language tag.																							
337	EHDSDocument	header.documentType	1..1	Type of document at hand, e.g. 60591-5 Patient summary document.	CodeableConcept	LOINC (preferred)	Type of document at hand, e.g. 60591-5 Patient summary document.																							
338	EHDSDocument	header.documentTitle	1..1	Human readable document title that can be displayed in search results, etc. This can be documentType's display name, or it can be assembled from multiple elements. Examples: 'Laboratory Result Report', 'Patient Summary of Jane Green 10.12.2024'	string		Human readable document title that can be displayed in search results, etc. This can be documentType's display name, or it can be assembled from multiple elements. Examples: 'Laboratory Result Report', 'Patient Summary of Jane Green 10.12.2024'																							
339	EHDSDocument	header.period	0..1	Time of service that is being documented	Period		Time of service that is being documented																							
340	EHDSDocument	header.version	0..1	Business version of the document. The exact algorithm for versioning is decided by the producer/custodian	string		Business version of the document. The exact algorithm for versioning is decided by the producer/custodian																							
341	EHDSDocument	header.attestation	0..*	Document attestation details	Base		Document attestation details																							
342	EHDSDocument	header.attestation.attester[x]	1..1	Attester who validated the document	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional		Attester who validated the document																							
343	EHDSDocument	header.attestation.attester[x]	1..1	Attester who validated the document	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice		Attester who validated the document																							
344	EHDSDocument	header.attestation.datetime	1..1	Date and time of the approval of the document by Attester	dateTime		Date and time of the approval of the document by Attester																							
345	EHDSDocument	header.legalAuthentication	0..*	Document legal authentication details	Base		Document legal authentication details																							
346	EHDSDocument	header.legalAuthentication.legalAuthenticator[x]	1..1	The person or organisation taking responsibility for the medical content of the document (typically the person who signs it)	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional		The person or organisation taking responsibility for the medical content of the document (typically the person who signs it)																							
347	EHDSDocument	header.legalAuthentication.legalAuthenticator[x]	1..1	The person or organisation taking responsibility for the medical content of the document (typically the person who signs it)	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation		The person or organisation taking responsibility for the medical content of the document (typically the person who signs it)																							
348	EHDSDocument	header.legalAuthentication.datetime	1..1	Date and time when the document was authorised	dateTime		Date and time when the document was authorised																							
349	EHDSDocument	header.eventType	0..*	Categorisation of the event covered by the document (e.g. laboratory study types, imaging study types including modality, etc.). Selection of such tags or labels depends on the use case and agreement between data sharing parties. This meta-data element serves primarily for searching and filtering purposes.	CodeableConcept	LOINC, SNOMED CT, dicom-cid-33-Modality (preferred)	Categorisation of the event covered by the document (e.g. laboratory study types, imaging study types including modality, etc.). Selection of such tags or labels depends on the use case and agreement between data sharing parties. This meta-data element serves primarily for searching and filtering purposes.																							
350	EHDSDocument	header.serviceSpecialty	0..*	Additional details about where the content was created (e.g. clinical specialty)	CodeableConcept	SNOMED CT (preferred)	Additional details about where the content was created (e.g. clinical specialty)																							
351	EHDSDocument	header.custodian	0..1	Organisation that is in charge of maintaining the document/report.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation		Organisation that is in charge of maintaining the document/report.																							
352	EHDSDocument	presentedForm	0..*	A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSAttachment		A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document																							
353	EHDSDosage		0..*	The model covers usage instructions for administering a medicinal product, focusing on the most frequently used data elements. More complex dosage schemes may require additional elements, which should be communicated as part of the rendered dosage instructions element.			Dosage model																							
354	EHDSDosage	renderedDosageInstruction	0..1	Full dosage information as human-readable text covering all dosage steps. Generating the text follows local rules and should include all locally implemented dosage data even when such elements are not present in this model.	string		Full dosage information as human-readable text covering all dosage steps. Generating the text follows local rules and should include all locally implemented dosage data even when such elements are not present in this model.																							
355	EHDSDosage	dosageDetails	0..*	Details of single dosage scheme step	Base		Details of single dosage scheme step																							
356	EHDSDosage	dosageDetails.sequence	0..1	Order of the dosage instruction, in case one treatment consists of several dosage steps. When two schemes share the same sequence number, they are meant to be running in parallel.	integer		Order of the dosage instruction, in case one treatment consists of several dosage steps. When two schemes share the same sequence number, they are meant to be running in parallel.																							
357	EHDSDosage	dosageDetails.note	0..1	Patient oriented instructions as free text for this dosage step	string		Patient oriented instructions as free text for this dosage step																							
358	EHDSDosage	dosageDetails.doseAndRate	0..*	Amount of medication administered per one dose (= one timing)	Base		Amount of medication administered per one dose (= one timing)																							
359	EHDSDosage	dosageDetails.doseAndRate.dose[x]	0..1	Amount of medication per one dose. (1 tablet, 2-3 tablets, 20ml)	Quantity	UCUM (units of measurement), EDQM Standard Terms (units of presentation) (preferred)	Amount of medication per one dose. (1 tablet, 2-3 tablets, 20ml)																							
360	EHDSDosage	dosageDetails.doseAndRate.dose[x]	0..1	Amount of medication per one dose. (1 tablet, 2-3 tablets, 20ml)	Range	UCUM (units of measurement), EDQM Standard Terms (units of presentation) (preferred)	Amount of medication per one dose. (1 tablet, 2-3 tablets, 20ml)																							
361	EHDSDosage	dosageDetails.doseAndRate.rate[x]	0..1	Amount of medication per time period (e.g. 100mg per 1 hour). When rate is provided per 1 time unit, Quantity data type can be used with a suitable unit (e.g. mg/h, ug/min).	Quantity	UCUM (units of measurement), EDQM Standard Terms (units of presentation) (preferred)	Amount of medication per time period (e.g. 100mg per 1 hour). When rate is provided per 1 time unit, Quantity data type can be used with a suitable unit (e.g. mg/h, ug/min).																							
362	EHDSDosage	dosageDetails.doseAndRate.rate[x]	0..1	Amount of medication per time period (e.g. 100mg per 1 hour). When rate is provided per 1 time unit, Quantity data type can be used with a suitable unit (e.g. mg/h, ug/min).	Ratio	UCUM (units of measurement), EDQM Standard Terms (units of presentation) (preferred)	Amount of medication per time period (e.g. 100mg per 1 hour). When rate is provided per 1 time unit, Quantity data type can be used with a suitable unit (e.g. mg/h, ug/min).																							
363	EHDSDosage	dosageDetails.repeat	0..1	Repetition of the administration.	Base		Repetition of the administration.																							
364	EHDSDosage	dosageDetails.repeat.bounds	0..1	Time bounds for the treatment (current dosage scheme). Only one of the following can exist.	Base		Time bounds for the treatment (current dosage scheme). Only one of the following can exist.																							
365	EHDSDosage	dosageDetails.repeat.bounds.duration	0..1	Number of time units, e.g 10 days	Quantity	UCUM (preferred)	Number of time units, e.g 10 days																							
366	EHDSDosage	dosageDetails.repeat.bounds.period	0..1	Start and end date, 05.08.2023 - 10.08.2023	Period		Start and end date, 05.08.2023 - 10.08.2023																							
367	EHDSDosage	dosageDetails.repeat.duration	0..1	Duration of administration (e.g '5 minutes', '1 hour')	Quantity	UCUM (preferred)	Duration of administration (e.g '5 minutes', '1 hour')																							
368	EHDSDosage	dosageDetails.repeat.frequency	0..1	Frequency of intake/administration (e.g 'three times a day')	Base		Frequency of intake/administration (e.g 'three times a day')																							
369	EHDSDosage	dosageDetails.repeat.frequency.numberOfTimes	0..1	Number of times per period (e.g '3 times')	integer		Number of times per period (e.g '3 times')																							
370	EHDSDosage	dosageDetails.repeat.frequency.period	0..1	Duration to which the frequency applies (e.g '... / 1 day')	Quantity	UCUM (preferred)	Duration to which the frequency applies (e.g '... / 1 day')																							
371	EHDSDosage	dosageDetails.repeat.dayOfWeek	0..*	The day of the week of administration, e.g Mon, Tue, etc	CodeableConcept		The day of the week of administration, e.g Mon, Tue, etc																							
372	EHDSDosage	dosageDetails.repeat.timeOfDay	0..*	Exact time of day of administration (e.g '10:00')	time		Exact time of day of administration (e.g '10:00')																							
373	EHDSDosage	dosageDetails.repeat.eventTime	0..*	Time period or event when the administration should happen ('before meal', 'immediately', 'morning')	CodeableConcept		Time period or event when the administration should happen ('before meal', 'immediately', 'morning')																							
374	EHDSDosage	dosageDetails.asNeeded	0..1	Take as needed	boolean		Take as needed																							
375	EHDSDosage	dosageDetails.bodySite	0..1	Body site of administration	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSBodyStructure		Body site of administration																							
376	EHDSDosage	dosageDetails.routeOfAdministration	0..1	Route of administration	CodeableConcept	EDQM Standard Terms (preferred)	Route of administration																							
377	EHDSEncounter		0..*	The model provides a structured way to capture information about a patient’s interaction with a healthcare service. It enables recording details related to individual encounters and supports linking closely related encounters when needed. Tracking broader or longer episodes of care that extend beyond individual encounters is outside the scope of this model.			Encounter model	EuEncounter																						
378	EHDSEncounter	header	1..1	Basic metadata for this information	Base		Basic metadata for this information	EuEncounter																						
379	EHDSEncounter	header.subject	1..1	Patient/subject information	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient		Patient/subject information	EuEncounter	subject	EQ											EQ									
380	EHDSEncounter	header.identifier	0..*	Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).	Identifier		Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).	EuEncounter	identifier	EQ											EQ									
381	EHDSEncounter	header.author[x]	0..*	Author (typically a health professional) who is responsible for this encounter	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional		Author (typically a health professional) who is responsible for this encounter																							
382	EHDSEncounter	header.author[x]	0..*	Author (typically a health professional) who is responsible for this encounter	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation		Author (typically a health professional) who is responsible for this encounter																							
383	EHDSEncounter	header.author[x]	0..*	Author (typically a health professional) who is responsible for this encounter	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice		Author (typically a health professional) who is responsible for this encounter																							
384	EHDSEncounter	header.date	0..1	Date and optionally time of authoring/issuing	dateTime		Date and optionally time of authoring/issuing																							
385	EHDSEncounter	header.status	1..1	Status of the encounter (e.g. discharged, discontinued, completed)	CodeableConcept		Status of the encounter (e.g. discharged, discontinued, completed)	EuEncounter	status	EQ											EQ									
386	EHDSEncounter	header.source	0..1	Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.	CodeableConcept		Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.																							
387	EHDSEncounter	header.language	0..1	Language in which the resource is written. Language is expressed by the IETF language tag.	CodeableConcept	BCP 47 (preferred)	Language in which the resource is written. Language is expressed by the IETF language tag.	EuEncounter	language	EQ											EQ									
388	EHDSEncounter	priority	0..1	Indicates the urgency of the encounter (e.g. urgent, routine).	CodeableConcept		Indicates the urgency of the encounter (e.g. urgent, routine).	EuEncounter	priority	EQ											EQ									
389	EHDSEncounter	type	1..1	Type of the encounter (inpatient, ambulatory, teleconsultation).	CodeableConcept		Type of the encounter (inpatient, ambulatory, teleconsultation).	EuEncounter	type	EQ											EQ									
390	EHDSEncounter	period	1..1	The actual start and end time of the encounter.	Period		The actual start and end time of the encounter.																							
391	EHDSEncounter	serviceProvider	0..1	The organisation (facility) responsible for this encounter	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation		The organisation (facility) responsible for this encounter	EuEncounter	serviceProvider	EQ		EuOrganization									EQ		EuOrganization							
392	EHDSEncounter	referringProfessional	0..1	Referring healthcare professional	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional		Referring healthcare professional																							
393	EHDSEncounter	basedOn[x]	0..*	Reference to the request that initiated this encounter	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCarePlan		Reference to the request that initiated this encounter	EuEncounter	basedOn	EQ		EuServiceRequest									EQ		EuServiceRequest							
394	EHDSEncounter	basedOn[x]	0..*	Reference to the request that initiated this encounter	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCarePlan		Reference to the request that initiated this encounter																							
395	EHDSEncounter	basedOn[x]	0..*	Reference to the request that initiated this encounter	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSServiceRequest		Reference to the request that initiated this encounter	EuEncounter	basedOn	EQ		EuServiceRequest									EQ		EuServiceRequest							
396	EHDSEncounter	basedOn[x]	0..*	Reference to the request that initiated this encounter	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSServiceRequest		Reference to the request that initiated this encounter																							
397	EHDSEncounter	reason[x]	0..*	Reason(s) for admission, e.g. problem, procedure or finding.	CodeableConcept		Reason(s) for admission, e.g. problem, procedure or finding.																							
398	EHDSEncounter	reason[x]	0..*	Reason(s) for admission, e.g. problem, procedure or finding.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCondition		Reason(s) for admission, e.g. problem, procedure or finding.																							
399	EHDSEncounter	reason[x]	0..*	Reason(s) for admission, e.g. problem, procedure or finding.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSProcedure		Reason(s) for admission, e.g. problem, procedure or finding.																							
400	EHDSEncounter	reason[x]	0..*	Reason(s) for admission, e.g. problem, procedure or finding.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation		Reason(s) for admission, e.g. problem, procedure or finding.																							
401	EHDSEncounter	reason[x]	0..*	Reason(s) for admission, e.g. problem, procedure or finding.	string		Reason(s) for admission, e.g. problem, procedure or finding.																							
402	EHDSEncounter	admission	0..1	Details about the admission to a healthcare service	Base		Details about the admission to a healthcare service	EuEncounter	admission	EQ											EQ									
403	EHDSEncounter	admission.admitter	0..1	Admitting healthcare professional	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional		Admitting healthcare professional	EuEncounter	participant[admitter].actor	EQ											EQ									
404	EHDSEncounter	admission.admitSource	0..1	From where the patient was admitted (e.g. physician referral, transfer).	CodeableConcept	HL7 Admit Source (preferred)	From where the patient was admitted (e.g. physician referral, transfer).	EuEncounter	admission.admitSource	EQ											EQ									
405	EHDSEncounter	dischargeDiagnosis[x]	0..*	The diagnoses at the time of discharge.	CodeableConcept		The diagnoses at the time of discharge.																							
406	EHDSEncounter	dischargeDiagnosis[x]	0..*	The diagnoses at the time of discharge.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCondition		The diagnoses at the time of discharge.																							
407	EHDSEncounter	dischargeDestination	0..1	Location or organisation to which the patient is going after discharge.	Base		Location or organisation to which the patient is going after discharge.																							
408	EHDSEncounter	dischargeDestination.type	0..1	Type of location (e.g. home, hospital, nursing home, etc.)	CodeableConcept		Type of location (e.g. home, hospital, nursing home, etc.)																							
409	EHDSEncounter	dischargeDestination.location[x]	0..1	The location or organisation (including contact details)	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation		The location or organisation (including contact details)																							
410	EHDSEncounter	dischargeDestination.location[x]	0..1	The location or organisation (including contact details)	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSLocation		The location or organisation (including contact details)																							
411	EHDSEncounter	serviceLocation	0..*	List of locations where the patient was present during this encounter.	Base		List of locations where the patient was present during this encounter.																							
412	EHDSEncounter	serviceLocation.period	0..1	Time period during which the patient was present at the location	Period		Time period during which the patient was present at the location																							
413	EHDSEncounter	serviceLocation.organisationPart[x]	1..1	Organisation or part of an organisation (e.g. department) where the patient was present during the encounter.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation		Organisation or part of an organisation (e.g. department) where the patient was present during the encounter.																							
414	EHDSEncounter	serviceLocation.organisationPart[x]	1..1	Organisation or part of an organisation (e.g. department) where the patient was present during the encounter.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSLocation		Organisation or part of an organisation (e.g. department) where the patient was present during the encounter.																							
415	EHDSEncounter	subEncounter	0..*	Reference to encounters that are considered parts of this encounter.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSEncounter		Reference to encounters that are considered parts of this encounter.																							
416	EHDSEncounter	note	0..1	Free text notes by the health professional	string		Free text notes by the health professional	EuEncounter	extension[note]	EQ											EQ									
417	EHDSEndpoint		0..*	Model covers technical details of an endpoint that can be used for electronic services			Endpoint model	EuEndpoint																						
418	EHDSEndpoint	identifier	1..*	Identifier for the endpoint	Identifier		Identifier for the endpoint	EuEndpoint	identifier	EQ											EQ									
